127.0.0.1 - - [09/Feb/2023:12:19:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:20:00 +0530] "GET /springSecurity/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:20:00 +0530] "GET /springSecurity/login HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:20:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:20:18 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:20:18 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:20:28 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:20:28 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:31 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:32 +0530] "GET /springSecurity/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:33 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:39 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:39 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:45 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:45 +0530] "GET /springSecurity/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Feb/2023:12:28:46 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 1491
